scenario,condition,method,distribution_aware,epsilon,inflation,seed,time_s,speed_ms,min_dist_m,min_ttc_s,collision_count,ade,fde
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,8,19.500000000000007,2.498256497076585,1.693888119638865,0.6021849257777829,0,2.1135049996305524,3.8030742837373746
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,9,19.900000000000013,2.447009389992319,1.602531299286723,0.45646590184852887,0,2.116133203117003,3.81106597867707
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,10,19.80000000000001,2.4551321079376267,1.6278770437125234,0.5423255505299854,0,2.110432946350239,3.791551184857508
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,11,19.60000000000001,2.4811941683397745,1.6278661816720106,0.5091982371168691,0,2.1093838648345695,3.7934891241343203
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,12,19.70000000000001,2.4799958577298344,1.7310250596161674,0.6015184934602404,0,2.1122204227021517,3.799035357106799
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,13,19.60000000000001,2.491182339417318,1.7542022476944037,0.6806614210985344,0,2.123066131770863,3.8164744033188085
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,14,19.500000000000007,2.4960489180614287,1.69541074000126,0.6028766774035461,0,2.105021059872972,3.78275192854958
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,15,19.60000000000001,2.4860539811039533,1.7807231911600545,0.7035657445290177,0,2.1037349589593632,3.7787155645950103
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,16,19.500000000000007,2.507953651707858,1.7547493266095535,0.643415349375672,0,2.1051509534468535,3.777367122246683
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,17,19.500000000000007,2.4982986537151954,1.689785033069562,0.6050634597363024,0,2.107758224332062,3.7768019820394594
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,18,19.80000000000001,2.4572074576063474,1.5959595047280621,0.45443418065331126,0,2.1139293740309135,3.793092637285023
scenario_02,sgan_single_inf1.00,sgan,False,0.0,1.0,19,19.60000000000001,2.4925182965642945,1.708287526021247,0.5884258072086487,0,2.1069712734120016,3.7947274271001707
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,0,20.000000000000014,2.4318281764443763,1.7128763301958052,0.5045666317417926,0,2.1082998526341634,3.7989226889763414
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,1,19.300000000000004,2.534552096727625,1.5314063501645478,0.3784494344169257,0,2.1246291112856013,3.825309840941768
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,2,19.70000000000001,2.470595275048755,1.9211734004770202,0.7733783166122025,0,2.120448978469805,3.814709003560611
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,3,20.100000000000016,2.4222788036158636,1.790553465385156,0.5283846131511326,0,2.1207494366718396,3.8158424245481837
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,4,19.900000000000013,2.447084285312234,1.6967000816073987,0.550063537513623,0,2.116077106306511,3.802349221878086
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,5,20.100000000000016,2.420619584749751,1.6351268664926908,0.43154724712253384,0,2.1022620804274945,3.775913501256927
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,6,20.100000000000016,2.4282434414807588,1.765353224465499,0.5359833040271353,0,2.1250541892795853,3.8333704090698344
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,7,19.80000000000001,2.461930897033098,1.8067170653049962,0.6602198102617941,0,2.1069176916416614,3.7832763925467643
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,8,20.000000000000014,2.445291562327965,1.7691028063894656,0.5973021646595528,0,2.11139788316026,3.8002987160109973
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,9,20.200000000000017,2.4126914314280956,1.7126886534746768,0.47782648133509037,0,2.117995904363545,3.8157251046713085
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,10,20.100000000000016,2.424459231307661,1.6362939455019188,0.4423512923874055,0,2.1118438389558727,3.7948947904683843
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,11,20.000000000000014,2.433354420986685,1.7345473360597576,0.5792738786699506,0,2.1127006512835727,3.8005013030366546
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,12,20.100000000000016,2.421494643726196,1.6071996477361894,0.40900920897912607,0,2.1196302247509506,3.812978222305274
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,13,19.900000000000013,2.4479358989844733,1.781329389569918,0.6372600551839352,0,2.123766515237266,3.818015124821123
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,14,20.100000000000016,2.4162627682073845,1.7355104984658354,0.5102169211070311,0,2.1060727368846406,3.7852042909340247
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,15,20.000000000000014,2.4428241828114774,1.8566351132687144,0.6094006615110321,0,2.108675758931499,3.789219396836713
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,16,20.000000000000014,2.4376349926161,1.7202344357970154,0.5718975141640407,0,2.1083748125510056,3.7847884963160103
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,17,19.80000000000001,2.4626984475069738,1.7886610534967191,0.6442835041870211,0,2.1092424205367983,3.7810637440601833
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,18,19.80000000000001,2.4656686350823325,1.8337603563252434,0.6818978901117553,0,2.114119319562409,3.7935103788159505
scenario_02,sgan_single_inf1.10,sgan,False,0.0,1.1,19,19.70000000000001,2.4751418503765765,1.9154729013543867,0.7748848023958234,0,2.108400672224331,3.7979532874233484
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,0,20.100000000000016,2.4327393250079647,1.8171424874725026,0.5929930937208161,0,2.109687233435712,3.8009218842250863
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,1,20.100000000000016,2.4317052914185373,1.950752392611243,0.727624170575514,0,2.131107918515714,3.8393796958190833
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,2,20.000000000000014,2.441552118954746,1.9605701021535202,0.713456345440712,0,2.123085279448333,3.819775129005166
scenario_02,sgan_single_inf1.20,sgan,False,0.0,1.2,3,20.000000000000014,2.439961632938608,1.946061746701415,0.7127444850064827,0,2.116376127664074,3.8080413219848293
