source,test_id,family,headline,p_value,family_size,family_bh_q,family_holm_p,family_bh_reject,family_holm_reject,overall_size,overall_bh_q,overall_holm_p,overall_bh_reject,overall_holm_reject,description
rq3_realloop,rq3.v1.collision_mcnemar.calib.lstm.robust,rq3_v1_collision_mcnemar,False,0.5,5,0.5,1.0,False,False,117,0.5792079207920792,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib vs replay (lstm/robust; discordant pairs 0+2)"
rq3_realloop,rq3.v1.collision_mcnemar.calib.sgan.single,rq3_v1_collision_mcnemar,False,0.03125,5,0.052083333333333336,0.125,False,False,117,0.05298913043478261,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib vs replay (sgan/single; discordant pairs 0+6)"
rq3_realloop,rq3.v1.collision_mcnemar.calib.sgan.robust,rq3_v1_collision_mcnemar,False,0.5,5,0.5,1.0,False,False,117,0.5792079207920792,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, calib vs replay (sgan/robust; discordant pairs 0+2)"
rq3_realloop,rq3.v1.reactivity_sign.avec.cv.single,rq3_v1_reactivity_ctrl,False,1.0,18,1.0,1.0,False,False,117,1.0,1.0,False,False,"Paired per-encounter sign test: avec SFM arm vs replay reference, same-time min separation (cv/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.avec.cv.single,rq3_v1_collision_mcnemar_ctrl,False,0.015625,14,0.07291666666666667,0.1875,False,False,117,0.028564453125,0.859375,True,False,"Exact McNemar on paired per-encounter collision occurrence, avec vs replay (cv/single; discordant pairs 0+7)"
rq3_realloop,rq3.v1.reactivity_sign.avec.cv.robust,rq3_v1_reactivity_ctrl,False,1.0,18,1.0,1.0,False,False,117,1.0,1.0,False,False,"Paired per-encounter sign test: avec SFM arm vs replay reference, same-time min separation (cv/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.reactivity_sign.avec.lstm.single,rq3_v1_reactivity_ctrl,False,0.32693958282470703,18,1.0,1.0,False,False,117,0.41578186076620355,1.0,False,False,"Paired per-encounter sign test: avec SFM arm vs replay reference, same-time min separation (lstm/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.avec.lstm.single,rq3_v1_collision_mcnemar_ctrl,False,0.0078125,14,0.0546875,0.109375,False,False,117,0.015543592090592055,0.48048764170074254,True,False,"Exact McNemar on paired per-encounter collision occurrence, avec vs replay (lstm/single; discordant pairs 0+8)"
rq3_realloop,rq3.v1.reactivity_sign.avec.lstm.robust,rq3_v1_reactivity_ctrl,False,0.16863754391670227,18,1.0,1.0,False,False,117,0.23488800759826386,1.0,False,False,"Paired per-encounter sign test: avec SFM arm vs replay reference, same-time min separation (lstm/robust, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.avec.lstm.robust,rq3_v1_collision_mcnemar_ctrl,False,0.25,14,0.3181818181818182,1.0,False,False,117,0.33238636363636365,1.0,False,False,"Exact McNemar on paired per-encounter collision occurrence, avec vs replay (lstm/robust; discordant pairs 0+3)"
rq3_realloop,rq3.v1.reactivity_sign.avec.sgan.single,rq3_v1_reactivity_ctrl,False,0.557197093963623,18,1.0,1.0,False,False,117,0.6150194339032443,1.0,False,False,"Paired per-encounter sign test: avec SFM arm vs replay reference, same-time min separation (sgan/single, seeds collapsed to encounter means, n=26)"
rq3_realloop,rq3.v1.collision_mcnemar.avec.sgan.single,rq3_v1_collision_mcnemar_ctrl,False,0.0078125,14,0.0546875,0.109375,False,False,117,0.015543592090592055,0.48048764170074254,True,False,"Exact McNemar on paired per-encounter collision occurrence, avec vs replay (sgan/single; discordant pairs 0+8)"
rq3_realloop,rq3.v1.reactivity_sign.avec.sgan.robust,rq3_v1_reactivity_ctrl,False,0.8450189828872681,18,1.0,1.0,False,False,117,0.8906956846649582,1.0,False,False,"Paired per-encounter sign test: avec SFM arm vs replay reference, same-time min separation (sgan/robust, seeds collapsed to encounter means, n=26)"
